language_group,manual_review_flag,manual_review_cues,manual_review_fields,id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,has_issues,private,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id,source_file,source_record_index
TypeScript,False,,,253975496,MDEwOlJlcG9zaXRvcnkyNTM5NzU0OTY=,Resume-Matcher,srbhr/Resume-Matcher,https://github.com/srbhr/Resume-Matcher,"Improve your resumes with Resume Matcher. Get insights, keyword suggestions and tune your resumes to job descriptions. ",TypeScript,26853,26853,4810,44,False,False,True,False,2020-04-08T03:26:49Z,2026-04-28T16:02:25Z,2026-04-24T16:09:41Z,main,srbhr,User,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,207
TypeScript,False,,,326404870,MDEwOlJlcG9zaXRvcnkzMjY0MDQ4NzA=,signoz,SigNoz/signoz,https://github.com/SigNoz/signoz,"SigNoz is an open-source observability platform native to OpenTelemetry with logs, traces and metrics in a single application. An open-source alternative to DataDog, NewRelic, etc. 🔥 🖥.   👉  Open source Application Performance Monitoring (APM) & Observability tool",TypeScript,26709,26709,2134,1524,False,False,True,False,2021-01-03T12:44:36Z,2026-04-28T18:52:20Z,2026-04-28T19:06:01Z,main,SigNoz,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,208
TypeScript,False,,,40484398,MDEwOlJlcG9zaXRvcnk0MDQ4NDM5OA==,discord.js,discordjs/discord.js,https://github.com/discordjs/discord.js,A powerful JavaScript library for interacting with the Discord API,TypeScript,26682,26682,4078,150,False,False,True,False,2015-08-10T13:36:26Z,2026-04-28T14:06:24Z,2026-04-24T17:11:21Z,main,discordjs,Organization,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,209
TypeScript,False,,,113965016,MDEwOlJlcG9zaXRvcnkxMTM5NjUwMTY=,PicGo,Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo,":rocket: The Ultimate Image Uploader for Efficient Creators. Supports Obsidian, Typora, VS Code etc. and 60+ image hosting services  (S3, GitHub, Cloudflare R2, Imgur, Aliyun OSS...). Paste, upload, done.",TypeScript,26663,26663,2336,26,False,False,True,False,2017-12-12T08:39:44Z,2026-04-28T17:32:30Z,2026-04-11T11:42:22Z,dev,Molunerfinn,User,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,210
TypeScript,False,,,63226588,MDEwOlJlcG9zaXRvcnk2MzIyNjU4OA==,react-admin,marmelab/react-admin,https://github.com/marmelab/react-admin,"A frontend Framework for single-page applications on top of REST/GraphQL APIs, using TypeScript, React and Material Design",TypeScript,26663,26663,5453,72,False,False,True,False,2016-07-13T07:58:54Z,2026-04-28T14:50:11Z,2026-04-21T22:34:48Z,master,marmelab,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,211
TypeScript,False,,,1148052330,R_kgDORG3jag,oh-my-codex,Yeachan-Heo/oh-my-codex,https://github.com/Yeachan-Heo/oh-my-codex,"OmX - Oh My codeX: Your codex is not alone. Add hooks, agent teams, HUDs, and so much more.",TypeScript,26613,26613,2177,13,False,False,True,False,2026-02-02T14:21:18Z,2026-04-28T19:04:44Z,2026-04-28T13:04:22Z,main,Yeachan-Heo,User,,data\raw\candidate_repos\typescript_candidates_raw.json,212
TypeScript,False,,,2312977,MDEwOlJlcG9zaXRvcnkyMzEyOTc3,SwitchHosts,oldj/SwitchHosts,https://github.com/oldj/SwitchHosts,Switch hosts quickly!,TypeScript,26547,26547,2632,409,False,False,True,False,2011-09-02T09:38:09Z,2026-04-28T16:17:17Z,2026-04-27T15:28:26Z,master,oldj,User,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,213
TypeScript,False,,,521655652,R_kgDOHxfVZA,infisical,Infisical/infisical,https://github.com/Infisical/infisical,"Infisical is the open-source platform for secrets, certificates, and privileged access management.",TypeScript,26322,26322,1843,572,False,False,True,False,2022-08-05T13:50:00Z,2026-04-28T17:47:11Z,2026-04-28T18:55:21Z,main,Infisical,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,214
TypeScript,False,,,642497346,R_kgDOJku7Qg,langfuse,langfuse/langfuse,https://github.com/langfuse/langfuse,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",TypeScript,26260,26260,2657,582,False,False,True,False,2023-05-18T17:47:09Z,2026-04-28T18:43:29Z,2026-04-28T14:46:45Z,main,langfuse,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,215
TypeScript,False,,,486815039,R_kgDOHQQ1Pw,actual,actualbudget/actual,https://github.com/actualbudget/actual,A local-first personal finance app,TypeScript,26119,26119,2370,233,False,False,True,False,2022-04-29T02:41:34Z,2026-04-28T19:01:59Z,2026-04-28T11:01:34Z,master,actualbudget,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,216
